epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,5158.35,1.157,1.23171,1.62612,0.77881,0.73554,0.79194,0.50762,1.22703,1.09991,1.62867,0.007525,0.007525,0.007525
33,5367.3,1.14359,1.19634,1.61266,0.85934,0.67958,0.79452,0.50952,1.21858,1.07894,1.62647,0.00736,0.00736,0.00736
32,5321.41,1.14304,1.19213,1.61475,0.77776,0.70783,0.77674,0.48737,1.24525,1.10796,1.63721,0.0074425,0.0074425,0.0074425
34,5532.1,1.13874,1.17942,1.60306,0.81991,0.6883,0.79536,0.50093,1.24902,1.06979,1.6257,0.0072775,0.0072775,0.0072775
33,5485.4,1.14359,1.19634,1.61266,0.85934,0.67958,0.79452,0.50952,1.21858,1.07894,1.62647,0.00736,0.00736,0.00736
35,5695.48,1.12606,1.1648,1.5917,0.78421,0.72435,0.78873,0.50421,1.21294,1.08275,1.61815,0.007195,0.007195,0.007195
34,5648.33,1.13874,1.17942,1.60306,0.81991,0.6883,0.79536,0.50093,1.24902,1.06979,1.6257,0.0072775,0.0072775,0.0072775
36,5859.17,1.1106,1.14117,1.57693,0.7679,0.74611,0.79078,0.50472,1.22271,1.05853,1.61681,0.0071125,0.0071125,0.0071125
35,5811.58,1.12606,1.1648,1.5917,0.78421,0.72435,0.78873,0.50421,1.21294,1.08275,1.61815,0.007195,0.007195,0.007195
37,6024.36,1.11703,1.15274,1.58909,0.81901,0.73161,0.79457,0.50402,1.24442,1.08317,1.63943,0.00703,0.00703,0.00703
36,5975.52,1.1106,1.14117,1.57693,0.7679,0.74611,0.79078,0.50472,1.22271,1.05853,1.61681,0.0071125,0.0071125,0.0071125
38,6187.98,1.11012,1.12768,1.57723,0.76451,0.73587,0.78649,0.51077,1.19516,1.04569,1.58468,0.0069475,0.0069475,0.0069475
37,6138.1,1.11703,1.15274,1.58909,0.81901,0.73161,0.79457,0.50402,1.24442,1.08317,1.63943,0.00703,0.00703,0.00703
39,6352.16,1.10616,1.11401,1.57842,0.79662,0.71719,0.80053,0.50793,1.20261,1.07072,1.6154,0.006865,0.006865,0.006865
38,6300.44,1.11012,1.12768,1.57723,0.76451,0.73587,0.78649,0.51077,1.19516,1.04569,1.58468,0.0069475,0.0069475,0.0069475
40,6516.97,1.09254,1.10591,1.56335,0.80917,0.70861,0.79164,0.51538,1.19951,1.05807,1.575,0.0067825,0.0067825,0.0067825
39,6464.27,1.10616,1.11401,1.57842,0.79662,0.71719,0.80053,0.50793,1.20261,1.07072,1.6154,0.006865,0.006865,0.006865
41,6680.73,1.0967,1.10922,1.56157,0.81011,0.73558,0.80365,0.52629,1.20004,1.02619,1.59853,0.0067,0.0067,0.0067
40,6628.02,1.09254,1.10591,1.56335,0.80917,0.70861,0.79164,0.51538,1.19951,1.05807,1.575,0.0067825,0.0067825,0.0067825
42,6844.83,1.08987,1.09324,1.5603,0.79095,0.72752,0.79385,0.50708,1.19742,1.02759,1.60019,0.0066175,0.0066175,0.0066175
41,6791.41,1.0967,1.10922,1.56157,0.81011,0.73558,0.80365,0.52629,1.20004,1.02619,1.59853,0.0067,0.0067,0.0067
43,7007.97,1.07929,1.07667,1.54999,0.81381,0.72531,0.79455,0.51937,1.19514,1.02009,1.59248,0.006535,0.006535,0.006535
42,6955.1,1.08987,1.09324,1.5603,0.79095,0.72752,0.79385,0.50708,1.19742,1.02759,1.60019,0.0066175,0.0066175,0.0066175
44,7171.22,1.06569,1.06765,1.53646,0.79365,0.73053,0.79294,0.50735,1.19845,1.0656,1.58334,0.0064525,0.0064525,0.0064525
43,7118.23,1.07929,1.07667,1.54999,0.81381,0.72531,0.79455,0.51937,1.19514,1.02009,1.59248,0.006535,0.006535,0.006535
45,7336.45,1.07289,1.06654,1.54658,0.84461,0.70054,0.79471,0.51347,1.20087,1.0241,1.61009,0.00637,0.00637,0.00637
44,7282.47,1.06569,1.06765,1.53646,0.79365,0.73053,0.79294,0.50735,1.19845,1.0656,1.58334,0.0064525,0.0064525,0.0064525
46,7501.7,1.06701,1.04874,1.53923,0.81799,0.72696,0.80297,0.52622,1.19729,1.02781,1.59543,0.0062875,0.0062875,0.0062875
45,7447.08,1.07289,1.06654,1.54658,0.84461,0.70054,0.79471,0.51347,1.20087,1.0241,1.61009,0.00637,0.00637,0.00637
47,7665.29,1.06023,1.05566,1.52941,0.80791,0.74016,0.8076,0.52515,1.18046,1.01578,1.6031,0.006205,0.006205,0.006205
